quantile	load_prediction_error_over	load_prediction_error_under	infer_prediction_error_over	infer_prediction_error_under	load_prediction_error_ratio_over	load_prediction_error_ratio_under	infer_prediction_error_ratio_over	infer_prediction_error_ratio_under	load_completion_error_over	load_completion_error_under	infer_completion_error_over	infer_completion_error_under	load_completion_error_ratio_over	load_completion_error_ratio_under	infer_completion_error_ratio_over	infer_completion_error_ratio_under	latency	cold	hot	y
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-06	3.2e-05	0.0	0.0	3.037509660040096e-14	1.1786240904428982e-12	0.0	0.0	1.524606	18.55714	1.524606	0.0
0.018207383490778883	0.001066	0.012535080230311507	0.000292	0.004003	5.413366345250519e-11	6.278208512247479e-10	8.758001812975922e-11	1.1573003035238378e-09	0.007432955869374841	0.12322067162054116	0.010911	0.050438	1.8444318663437634e-10	2.9427787977168257e-09	6.357522015249014e-10	2.9051676903614056e-09	30.90347473424475	85.71567309480994	30.901607099729507	0.007980238299869083
0.03608325816797786	0.0021721430063644247	0.024923792633435318	0.001117	0.009962	1.0675946302790352e-10	1.2405716849895198e-09	3.2035838839941263e-10	2.9238736412828523e-09	0.015934364540992407	0.2721686644833691	0.022272	0.09389484872731113	3.8641127004538325e-10	6.106834043353239e-09	1.3045389564680178e-09	5.37476998283502e-09	39.97219388705896	91.1241534679449	39.96942748271226	0.015960476599738167
0.0536336599396956	0.003248112486508985	0.03931022059998638	0.001848	0.016444	1.614628584363581e-10	1.9159471044751676e-09	5.470148118906849e-10	4.932016095734227e-09	0.024634533616345208	0.4501581422303213	0.034116	0.132085	5.929317467468618e-10	9.806633912882894e-09	2.0025572879919486e-09	7.529102854058828e-09	47.339113919049936	94.01998424137795	47.33551156261325	0.02394071489960725
0.07086451481593858	0.004416995907338697	0.058173	0.002582	0.022626	2.0973299293042447e-10	2.7174321965596356e-09	7.638374143634642e-10	6.757677656829377e-09	0.03357140891012113	0.6539555780826367	0.046084	0.16616108257916767	8.044465547404705e-10	1.3516556093068041e-08	2.7153658482977457e-09	9.448290846888701e-09	53.66545269080324	95.00040617735239	53.661426	0.03192095319947633
0.08778164090957585	0.005545943395810434	0.08532227058365303	0.0035	0.027002	2.622626201306157e-10	3.676194434411742e-09	1.0330861185148837e-09	7.980901292853138e-09	0.04267056487523113	0.7678384635120471	0.058461	0.196893	1.029956426647637e-09	1.682983531193889e-08	3.4567904832997187e-09	1.1186980588890753e-08	59.14720555579738	95.000699	59.14270208729137	0.039901191499345415
0.10439075040086443	0.0067169506659096115	0.1265177311939517	0.004516	0.030535	3.161715010451625e-10	4.806388379949947e-09	1.3335219753127582e-09	8.987646064445129e-09	0.05170254025166532	0.8209059846310423	0.071025	0.225701	1.2578566658484275e-09	2.1269825085227252e-08	4.219116130658257e-09	1.2818143813748336e-08	64.22635791216223	95.001032	64.22088769925041	0.0478814297992145
0.1206974514662047	0.007982	0.17547892168344761	0.005647	0.033606	3.7357149911665615e-10	6.146595666650225e-09	1.6683101093600197e-09	9.877432400944975e-09	0.05990341213738582	0.8584665503908055	0.08393	0.2526812341322363	1.4986911568823903e-09	2.686493475334878e-08	4.999410559604941e-09	1.4349507673466165e-08	69.0896535784373	95.001358	69.08373644463043	0.055861668099083585
0.13670725017177876	0.00922293880573783	0.233603	0.006863	0.036709	4.355410661829274e-10	7.746722822865e-09	2.030369247231336e-09	1.0901743406553042e-08	0.06946037389998157	0.892968301655495	0.097008	0.278118	1.7113815447942863e-09	3.3254005845711264e-08	5.802290875705459e-09	1.580087617844882e-08	73.77326044091389	95.00168190409876	73.76667841130555	0.06384190639895267
0.15242555233271027	0.01053759457146761	0.31330916196392067	0.008172	0.040683	4.998207585488912e-10	1.0043601216121043e-08	2.3904225105130864e-09	1.2204726113675487e-08	0.07762877729921132	0.92981	0.11041978519890511	0.302295	1.9313964369541858e-09	4.282860395128205e-08	6.622219968385932e-09	1.7182852111047354e-08	78.3289143651127	95.00199781325615	78.32248582268919	0.07182214469882175
0.16785766533837387	0.011898610346075937	0.4038127435153827	0.009419	0.045259	5.585836254872819e-10	1.4026512864419368e-08	2.777969015976129e-09	1.3666698151589925e-08	0.08622059222541076	0.9925056955271832	0.12398689121232513	0.325414	2.1428547092776583e-09	5.623811605776244e-08	7.47822717248794e-09	1.850242739143806e-08	81.89629542402565	95.00231766533119	81.89000164177534	0.07980238299869083
0.1830087999444704	0.013414260242236593	0.6912891105359965	0.010842	0.050043	6.226322969099925e-10	2.8702856160229976e-08	3.2071166857579944e-09	1.5085810118631324e-08	0.095083	1.092736990296965	0.137911	0.347582	2.3788659503155794e-09	9.767307977527026e-08	8.358723258430404e-09	1.9771639146794725e-08	85.585666	95.002571	85.57885365148019	0.08778262129855992
0.19788407203247316	0.014878	4.509746271912421	0.012295064908414846	0.054196	6.875592525013441e-10	2.588183520295623e-06	3.6105390532822208e-09	1.6219173073037117e-08	0.10368738823306471	1.2714492674717794	0.152167	0.369064	2.5876701876861263e-09	1.3445036019084748e-07	9.263701771671916e-09	2.1004996354943277e-08	88.76001311997311	95.00285447835378	88.75498368291214	0.095762859598429
0.21248850433704003	0.016429639709816056	5.657027049517774	0.013682	0.057446	7.605250135152632e-10	2.6133709286316132e-06	4.047470926554048e-09	1.7130413112017806e-08	0.11216388852318951	5.272917926303433	0.1667507083065412	0.3899	2.8280391169294252e-09	5.365800927711279e-07	1.0195327352105908e-08	2.220122619475114e-08	90.63334605720559	95.003133	90.63085572487711	0.10374309789829808
0.22682702814197242	0.018057671310820384	5.691484	0.015195	0.060373	8.297151200533627e-10	2.6485005914900846e-06	4.469503240058673e-09	1.8007453277959062e-08	0.12064984512209188	6.38050101187334	0.1817779606164433	0.41020774268534127	3.0527333960240426e-09	1.641442256187236e-06	1.1157946694512677e-08	2.3370056783025766e-08	91.475912	95.00342166637007	91.474569	0.11172333619816717
0.24090448494529693	0.019787465679029087	6.088981	0.01658	0.063457	9.006870944243821e-10	2.820371694556072e-06	4.8959065891976305e-09	1.8982214964698274e-08	0.1285023288265366	6.544536413707255	0.1969204999909841	0.430115	3.2977369930687423e-09	2.471336104182103e-06	1.2146177128734632e-08	2.4513345864983177e-08	91.931915	95.00370845508806	91.931063	0.11970357449803624
0.2547256280940283	0.02163020125755872	6.246573	0.018023	0.066778	9.768580196139837e-10	2.840084705115701e-06	5.32096906245701e-09	2.0058306956098294e-08	0.136643412046679	7.023335467808659	0.21258	0.449538	3.538859870884903e-09	2.6312164209308013e-06	1.316803497477899e-08	2.5634149928066373e-08	92.235392	95.00398	92.234704	0.12768381279790533
